1994-115|A|Zone-tailed Hawk||4/30/94 0:00:00||Santiago Oaks Regional Park|ORA||
1994-124|A|Light-mantled Albatross||7/17/94 0:00:00||Cordell Bank|MRN||(ph., video)
1994-133|I|White/Black-backed Wagtail||9/2/94 0:00:00|9/3/94 0:00:00|Ocean Ranch, Eel river WMA, s. of Eureka|hum||(ph.)
1994-135|A|Blue-footed Booby||9/7/90 0:00:00||Huntington Beach|ORA||(#LACM 109238) (ph.)
1994-136|R|Mourning Warbler||9/24/94 0:00:00||Galileo Hill|KER||
1994-142|B|Yellow-green Vireo||10/3/94 0:00:00||Cosmunes R. Preserve|SAC||
1994-147|R|Mississippi Kite||6/20/94 0:00:00||Bishop|INY||
1994-149|B|Red-tailed Tropicbird||9/24/94 0:00:00||33 nmi. W of Pt. Pinos|MTY||(ph.)
1994-150|B|Painted Bunting||9/23/94 0:00:00||Huntington Beach|ORA||
1994-151|I|Painted Bunting||9/24/94 0:00:00||Furnace Creek|INY||Rejected unless report received from Brian Daniels
1972-012|A|Black Vulture||4/13/72 0:00:00||Chico|BUT||
1973-103|R|Band-rumped Storm-Petrel||9/12/70 0:00:00||25 mi W of San Diego|SD||
1978-118|M|Red-necked Stint||9/3/78 0:00:00|9/4/78 0:00:00|McGrath S.B.|VEN||Previously rejected - hold for next meeting
1981-045|R|Murphy's Petrel||5/21/81 0:00:00||Off Pt. Arena|MEN||
1984-085|X|Red-necked Stint||8/17/74 0:00:00||S. end Salton Sea (Red Hill)|IMP||(#SDNHM)
1985-007|B|Iceland Gull||||Bodega Bay|SON||
1985-068|R|Murphy's Petrel||6/3/85 0:00:00||12 m. W of SE Farallon|MRN||
1986-015|B|Iceland Gull||1/17/86 0:00:00|1/25/86 0:00:00|Otay Dump|SD||
1987-072|B|Iceland Gull||2/6/87 0:00:00|2/23/87 0:00:00|Arcata|HUM||
1988-048|X|Prothonotary Warbler||10/2/87 0:00:00|10/3/87 0:00:00|Galileo Hill|KER||
1988-213|X|Snow Bunting||10/27/88 0:00:00||SE Farallon I.|SF||
1988-289|A|Whooper Swan||12/16/88 0:00:00||Near intersection of I-5 and Hwy12|SJ||Previously rejected. Being recirculated in light of accumulation of recent records.
1988-290|I|White/Black-backed Wagtail||12/23/88 0:00:00|1/21/89 0:00:00|Moss Landing|MTY||(ph.)
1989-011|R|Eastern Meadowlark||10/27/85 0:00:00|10/30/85 0:00:00|SE Farallon I.|SF||(ph.)
1989-130|I|White/Black-backed Wagtail||10/1/89 0:00:00||Rodeo Lagoon|MRN||(ph.)
1989-210|I|White/Black-backed Wagtail||12/3/89 0:00:00|12/11/89 0:00:00|Sunset State Beach|SCZ|MTY|same?
1990-099|A|Brown Booby||7/21/90 0:00:00||Salton Sea|IMP||Update this record; entered to record new report.
1990-100|A|Brown Booby||7/21/90 0:00:00||Salton Sea|IMP||Update this record; entered to record new report.
1990-189|I|White/Black-backed Wagtail||11/7/90 0:00:00|12/3/90 0:00:00|Pajaro R. Mouth/Sunset State Beach|SCZ|MTY|same?
1990-200|I|White/Black-backed Wagtail||12/21/90 0:00:00|1/19/91 0:00:00|Moss Landing|MTY||(ph.) same as 1988-290/1989-210 & 1990-180?
1991-002|X|Zone-tailed Hawk||12/22/90 0:00:00||Whelan L., Oceanside|SD||return?
1992-026|R|Red-throated Pipit||10/14/91 0:00:00||Big Sur R. mouth|MTY||
1992-027|R|Red-throated Pipit||10/16/91 0:00:00||Salinas R. mouth|MTY||
1992-028|R|Red-throated Pipit||10/17/91 0:00:00||Jetty Rd.|MTY||
1992-034A|X|Zone-tailed Hawk||11/2/91 0:00:00|11/3/91 0:00:00|Santee Lakes|SD||adult
1992-034B|X|Zone-tailed Hawk||1/15/92 0:00:00|2/3/92 0:00:00|Santee Lakes|SD||imm
1992-050|X|Little Stint||9/16/92 0:00:00|9/21/92 0:00:00|Eureka|HUM||(ph.)
1992-051|X|Common Redpoll||||(Location unknown)|PLU||(#SDNHM) 23 Dec 1899
1992-053|R|Stejneger's Petrel|4|10/10/91 0:00:00||120 mi WSW of Pt. Conception|SBA||(ph.) between 32°50'N, 123°53.8'W and 33°23'N, 124°19.4'W
1992-206|X|Trumpeter Swan||1/23/92 0:00:00||Tecopa|INY||(ph.)
1992-215|R|Red-necked Stint||7/4/87 0:00:00||Santa Clara R. estuary|VEN||
1992-234|R|Snow Bunting||11/4/89 0:00:00||Furnace Creek|INY||
1992-247|A|Painted Bunting||9/15/92 0:00:00||Santa Cruz|SCZ||
1992-249|I|Eurasian Dotterel|3|9/9/92 0:00:00|9/12/92 0:00:00|L. Talawa|DN||(ph.)
1992-259|R|Little Stint||7/27/92 0:00:00||Bodega Bay|SON||(ph.)
1993-002|X|Upland Sandpiper||6/5/92 0:00:00||Near Burnt Ranch|TRI||(#WFVZ)
1993-024|A|Painted Bunting||9/4/92 0:00:00||San Diego|SD||
1993-043|R|Gray Catbird||6/14/84 0:00:00||Wyman Canyon|INY||
1993-045|A|Red-throated Pipit||10/21/91 0:00:00||Montezuma Slough|SOL||
1993-046|R|Yellow-throated Warbler||6/2/92 0:00:00||Pt. Reyes (Fish Docks)|MRN||
1993-050|B|Little Stint||9/16/92 0:00:00|9/21/92 0:00:00|Eureka Wastewater Treatment Ponds|HUM||(ph.)
1993-056|X|Zone-tailed Hawk||11/4/92 0:00:00||Santee|SD||same ad.?
1993-057|R|Scissor-tailed Flycatcher||10/10/92 0:00:00||Tijuana R. valley|SD||
1993-065|X|Trumpeter Swan|3|12/24/92 0:00:00|12/28/92 0:00:00|Thibaut Pond, vic. Independence|INY||(ph.) and 5 Apr 93, Klondike L. INY
1993-068|R|Trumpeter Swan|3|2/15/93 0:00:00||L. Almanor|PLU||
1993-079|X|Zone-tailed Hawk||1/29/93 0:00:00|1/30/93 0:00:00|Santee Lakes|SD||same? [[Accepted?]]
1993-098|I|Alder Flycatcher||9/2/87 0:00:00||SE Farallon I.|SF||(ph., #CAS)
1993-101|I|Alder Flycatcher||8/21/91 0:00:00||SE Farallon I.|SF||(ph.)
1993-102|I|Alder Flycatcher||8/27/88 0:00:00||SE Farallon I.|SF||(ph.)
1993-104|R|Bar-headed Goose||3/18/59 0:00:00||Lower Klamath NWR|SIS||(ph.)
1993-112|X|Scissor-tailed Flycatcher||3/28/93 0:00:00|3/29/93 0:00:00|San Elijo Lagoon|SD||same?
1993-118|R|Bulwer's Petrel||7/10/93 0:00:00|8/1/93 0:00:00|n. end Salton Sea|RIV||
1993-126|R|Yellow-throated Warbler||5/22/93 0:00:00||Pt. Bonita|MRN||
1993-133|A|Streaked Shearwater||8/13/93 0:00:00||Red Bluff|TEH||(ph.)
1994-154|B|Mourning Warbler||9/15/94 0:00:00|9/18/94 0:00:00|Galileo Hill|KER||(ph.)
1994-157|A|Black-bellied Whistling-Duck||8/27/94 0:00:00|8/28/94 0:00:00|Ramer L.|IMP||
1994-170|R|Ruddy Ground-Dove||9/24/94 0:00:00||Iron Mtn. Pumping Plant|SBE||
1994-178|A|Yellow-billed Loon|3|11/7/94 0:00:00|3/26/95 0:00:00|Pacific Grove/Monterey|MTY||Same as 1994-002?, one of 3 on 19 Mar 95
1994-180|A|Manx Shearwater|2|9/21/94 0:00:00||3 mi NNW Pt. Pinos|MTY||(ph.)
1994-187|R|Dusky-capped Flycatcher||11/30/94 0:00:00||Pt. Lobos St. Reserve|MTY||
1994-188|R|Sedge Wren||10/16/94 0:00:00|10/17/94 0:00:00|Hayward Regional Shoreline|ALA||
1994-203|M|Zone-tailed Hawk||10/23/94 0:00:00||Los Angeles|LA||
1994-208|B|Blue-footed Booby||8/31/94 0:00:00||E. Anacapa I.|VEN||
1995-001|X|Yellow-billed Loon||12/12/94 0:00:00|3/19/95 0:00:00|Monterey|MTY||2d bird, molting in Mar, returning 29 Dec 95 off Stillwell Hall, Ft. Ord
1995-006|B|Broad-billed Hummingbird||11/1/94 0:00:00||Huntington Beach|ORA||male
1995-010|R|Yellow Wagtail||10/6/93 0:00:00||Hayward Regional Shoreline|ALA||
1995-013|B|Painted Bunting||9/3/93 0:00:00||Huntington Beach|ORA||
1995-014|R|Eastern Wood-Pewee||11/29/94 0:00:00||Huntington Beach|ORA||(tape, ph.)
1995-015A|B|Reddish Egret||12/18/94 0:00:00||Chula Vista|SD||Immature. Originally circulated as 1995-015 and accepted 10-0
1995-015B|B|Reddish Egret||6/16/95 0:00:00||Chula Vista|SD||Immature. Originally circulated as 1995-015 and accepted 10-0
1995-019|M|Yellow-billed Loon||1/6/95 0:00:00||Morro Bay|SLO||
1995-020|A|Whooper Swan||1/17/95 0:00:00|1/29/95 0:00:00|Between Grimes & Arbuckle|COL||
1995-022|R|Trumpeter Swan||2/7/95 0:00:00||Vic. Grimes|COL||
1995-023|R|Anhinga|2|11/2/94 0:00:00||Westminster Memorial Park|ORA||
1995-024|A|Zone-tailed Hawk||10/3/94 0:00:00||Vic. Weldon|KER||Adult
1995-030|A|Great Frigatebird||10/13/79 0:00:00||Vic. Moss Landing|MTY||
1995-033|B|Black Rosy-Finch||2/11/95 0:00:00|4/1/95 0:00:00|Aspendell|INY||(ph.) [Please vote on the 1 Apr 95 report]
1995-039|B|Greater Pewee||1/21/95 0:00:00|2/9/95 0:00:00|Saticoy|VEN||
1995-041|R|Curlew Sandpiper||1/2/95 0:00:00||Upper Newport Bay|ORA||
1995-042|R|Black-billed Cuckoo||3/1/18 0:00:00||Fresno|FRE||(#Burke Mus.)
1995-043|M|Thick-billed Kingbird||4/22/95 0:00:00||Puente Hills|LA||
1995-046|A|Cave Swallow||5/6/95 0:00:00||Sheldon Reservoir|IMP||Co?
1995-049|B|Zone-tailed Hawk||12/17/94 0:00:00||Ventura|VEN||
1995-050|I|Zone-tailed Hawk||12/17/94 0:00:00||Ojai|VEN||Returning bird
1995-051|B|Black-headed Gull||12/30/94 0:00:00|2/1/95 0:00:00|Santa Barbara|SBA||Returning bird
1995-053|I|Slaty-backed Gull||2/5/95 0:00:00||Ventura Marina|VEN||(ph.)
1995-054|A|Cave Swallow||5/21/95 0:00:00||Imperial Wildlife Area (Wister Unit)|IMP||Accepted - vote on "same as 1995-046"
1995-056|A|Pyrrhuloxia|4|5/28/95 0:00:00|6/11/95 0:00:00|Chemehuevi Wash|SBE||(ph.) 28 May (1 singing); 29 May (1, 3 singing); 5 June (3 singing, 1 on a nest); 11 June (3 singing)
1995-057|A|Arctic Loon||5/5/95 0:00:00|5/16/95 0:00:00|Bodega Bay|SON||Additional report for 11 Jun 95 received on 3 Jul 97
1995-059|A|Grace's Warbler||5/22/95 0:00:00|6/14/95 0:00:00|Clark Mtn.|SBE||(ph.) 2 males (female 1995-021 also accepted) [Only one male accepted]
1995-067|R|Scissor-tailed Flycatcher||6/24/95 0:00:00||Vidal Wash|SBE||
1995-068|R|Veery||5/19/95 0:00:00||Moss Landing|MTY||
1995-071|B|Sandwich Tern||6/24/95 0:00:00|7/17/95 0:00:00|Bolsa Chica|ORA||Returning adult. Same as 1991-085.
1995-073|A|Brown Booby||4/22/95 0:00:00||Pt. Mugu SP|VEN||
1995-075|R|Yellow-crowned Night-Heron||4/15/95 0:00:00||Playa del Rey|LA||
1995-082|R|Common Pochard|2|12/26/94 0:00:00||Bolsa Chica|ORA||(ph.)
1995-083|A|Red-necked Stint||6/28/95 0:00:00||Santa Maria R. estuary|SBA||(ph.) same as 1994-110 (11-15 Jul 1994)
1995-084|R|Sandwich Tern||7/4/95 0:00:00|7/11/95 0:00:00|Pajaro R. mouth|MTY||New slides from Roberson added during round 2
1995-085|R|Parakeet Auklet||3/12/95 0:00:00||Limantour Beach|MRN||(ph.)
1995-089|A|Sooty Tern||7/30/95 0:00:00||Doheny State Park|ORA||
1995-091|A|Yellow-green Vireo||9/21/95 0:00:00|9/27/95 0:00:00|Galileo Hill|KER||
1995-092|A|Blue-winged Warbler||9/24/95 0:00:00|9/27/95 0:00:00|Galileo Hill|KER||
1995-097|A|Smith's Longspur||10/24/95 0:00:00|10/28/95 0:00:00|Pt. Reyes N.S. (North Beach)|MRN||
1995-102|A|Garganey||9/29/95 0:00:00|10/1/95 0:00:00|Vic. Cantil|KER||
1995-106|A|Arctic Warbler||9/13/95 0:00:00||Big Sur R. mouth|MTY||(ph.)
1995-109|R|Little Stint||8/30/95 0:00:00||Bolinas Lagoon|MRN||No vote from Terrill
1995-110|A|Manx Shearwater||10/29/95 0:00:00||Monterey Bay|MTY|SCZ|(ph.)
1995-111|A|Thick-billed Murre||10/16/95 0:00:00||Monterey Bay|MTY||(ph.)
1995-112|A|Philadelphia Vireo||10/22/95 0:00:00||Pt. Loma|SD||
1995-113|A|Ruddy Ground-Dove||10/21/95 0:00:00||Furnace Creek|INY||Count?
1995-114|A|Lesser Black-backed Gull||10/22/95 0:00:00|2/13/96 0:00:00|Alviso SCL/San Fran. Bay NWR|ALA||(ph.)
1995-115|A|Philadelphia Vireo||9/30/95 0:00:00||Irvine|ORA||
1995-116|B|Northern Wheatear||9/26/95 0:00:00||Bodega Bay|SON||(ph.)
1995-117|A|Black-backed Wagtail||11/3/95 0:00:00||Bolinas Beach|MRN||(ph.)
1995-118|A|Zone-tailed Hawk||11/8/95 0:00:00||Irvine Regional Park|ORA||return
1995-119|A|Dusky Warbler||10/31/95 0:00:00|11/3/95 0:00:00|Vandenburg AFB|SBA||(ph., tape)
1995-120|A|Yellow-billed Loon||11/10/95 0:00:00|2/10/96 0:00:00|Pacific Grove|MTY||(ph.) Same as 1994-002. 3rd year return
1995-121|B|Streaked Shearwater||9/10/95 0:00:00||22 mi W Moss Landing|MTY||
1995-122|A|Manx Shearwater||9/10/95 0:00:00||8 mi SW Moss Landing|MTY||(ph.)
1995-123|R|Greater Shearwater||10/15/95 0:00:00||12.5 mi SW of SE Farallon I.|SF||
1995-124|R|Ruddy Ground-Dove||11/30/95 0:00:00||Furnace Creek|INY||
1995-125|A|Groove-billed Ani||12/2/95 0:00:00|3/2/96 0:00:00|Harbor City|LA||(ph.)
1995-126|A|Thick-billed Kingbird||11/30/95 0:00:00|1/28/96 0:00:00|Pomona|LA||(ph.) Returning
1995-127|A|Northern Wheatear||9/23/95 0:00:00||Baker Beach|SF||(ph.)
1995-128|A|Gray Catbird||10/2/95 0:00:00||Furnace Creek|INY||(ph.)
1995-129|B|Yellow Wagtail||9/4/95 0:00:00||Tomales Bay|MRN||
1995-130|A|Yellow-green Vireo||10/16/95 0:00:00|10/21/95 0:00:00|L. Merced|SF||
1995-131|A|Golden-winged Warbler||8/25/95 0:00:00|8/30/95 0:00:00|Pescadero Creek|SM||Male
1995-132|A|Painted Bunting||11/3/95 0:00:00|11/12/95 0:00:00|Santa Cruz|SCZ||(ph.)
1995-133|A|Painted Bunting||12/2/95 0:00:00|12/3/95 0:00:00|Tijuana R. valley|SD||
1995-134|A|Snow Bunting|2|11/22/95 0:00:00||L. Talawa|DN||
1995-135|A|Manx Shearwater||10/15/95 0:00:00||1 km S Southeast Farallon I.|SF||(ph.)
1995-136|A|Brown Booby||9/27/95 0:00:00||SE Farallon I.|SF||Same bird (3-3)
1995-137|A|Connecticut Warbler||9/9/95 0:00:00||SE Farallon I.|SF||(ph.)
1995-138|A|Connecticut Warbler||9/21/95 0:00:00||SE Farallon I.|SF||
1995-139|A|Connecticut Warbler||10/1/95 0:00:00||SE Farallon I.|SF||
1995-140|A|Cassin's Sparrow||10/15/95 0:00:00|10/17/95 0:00:00|SE Farallon I.|SF||
1995-141|A|Manx Shearwater||3/22/95 0:00:00||SE Farallon I.|SF||
1995-142|A|Gray Catbird||10/1/95 0:00:00||Vic. California City|KER||(ph.)
1995-143|A|Yellow-throated Warbler||12/17/95 0:00:00|3/9/96 0:00:00|Ramer L.|IMP||(ph.)
1996-001|A|Worm-eating Warbler||10/26/95 0:00:00||Monterey|MTY||(ph., #PGMNH)
1996-002|A|Emperor Goose||12/5/94 0:00:00|12/11/94 0:00:00|N. Humboldt Bay|HUM||(#Private)
1996-003|A|Emperor Goose||12/13/94 0:00:00||Arcata Bottoms|HUM||(#Private)
1996-004|A|Garganey||9/17/95 0:00:00||Table Bluff|HUM||(ph.)
1996-005|I|Eurasian Kestrel||5/1/73 0:00:00||Humboldt Bay|HUM||(ph.) Exact date unknown
1996-006|A|Yellow Wagtail||8/29/95 0:00:00||L. Earl|DN||(ph.)
1996-007|O|Painted Bunting||11/5/95 0:00:00|11/10/95 0:00:00|Hiouchi|DN||(ph.)
1996-008|A|Rustic Bunting|2|12/23/95 0:00:00|2/23/96 0:00:00|Hoopa|HUM||(ph.)
1996-009|A|Black-headed Gull||11/22/95 0:00:00|12/31/95 0:00:00|Santa Barbara|SBA||(ph.) same, Ad.
1996-010|A|Garganey||12/29/95 0:00:00|1/21/96 0:00:00|Vandenberg AFB|SBA||(ph.)
1996-011|A|Little Gull||12/23/95 0:00:00||Pt. Fermin|LA||
1996-012|A|Ivory Gull||1/5/96 0:00:00||Doheny State Beach|ORA||First-year
1996-013|A|Worm-eating Warbler||12/15/95 0:00:00|3/18/96 0:00:00|Golden Gate Park|SF||
1996-015|A|Philadelphia Vireo||9/11/95 0:00:00|9/19/95 0:00:00|SE Farallon I.|SF||(ph.)
1996-016|A|Connecticut Warbler||9/23/95 0:00:00||SE Farallon I.|SF||(ph.)
1996-017|A|Le Conte's Sparrow||10/27/95 0:00:00||SE Farallon I.|SF||
1996-018|A|Worm-eating Warbler||12/6/95 0:00:00||Pebble Beach|MTY||(ph.) ca. 6 Dec 95
1996-019|A|Lesser Black-backed Gull||12/24/95 0:00:00|1/28/96 0:00:00|Doheny SB|ORA||Returning bird
1996-020|A|Snow Bunting|8|1/5/96 0:00:00||Eel R. mouth|HUM||
1996-021|A|Lesser Black-backed Gull||1/22/96 0:00:00|1/27/96 0:00:00|Brawley|IMP||
1996-022|A|American Oystercatcher||1/14/96 0:00:00|2/8/96 0:00:00|Laguna Beach|ORA||(ph.)
1996-023|A|Black-backed Wagtail||1/25/96 0:00:00|4/12/96 0:00:00|Doheny SB, Dana Point|ORA||(ph.) (video - 2 from Maya Decker)
1996-024|A|Golden-winged Warbler||10/19/95 0:00:00||Huntington Beach|ORA||(ph.)
1996-025|R|Sprague's Pipit||1/9/96 0:00:00||Carrizo Plain|SLO||
1996-026|R|Crested Caracara||7/1/94 0:00:00||Oriflamme Mtn., Anza-Borrego|SD||
1996-027|A|Dusky-capped Flycatcher||12/31/95 0:00:00|1/20/96 0:00:00|Ft. Funston|SF||(ph.)
1996-028|R|American Oystercatcher|2|9/5/95 0:00:00||Laguna Beach|ORA||
1996-029|R|Yellow-billed Loon||1/3/95 0:00:00||Ventura Harbor|VEN||(ph.)
1996-030|A|Grace's Warbler||10/22/95 0:00:00|2/24/96 0:00:00|Chilao|LA||
1996-031|R|Thick-billed Murre||2/11/96 0:00:00||Limantour|MRN||(ph.) Retraction requested by Rich Stallcup
1996-032|A|Tricolored Heron||3/2/96 0:00:00|4/1/96 0:00:00|S. end Salton Sea (vic. Red Hill)|IMP||
1996-033|A|Little Gull||3/2/96 0:00:00|3/9/96 0:00:00|N. end Salton Sea|RIV||
1996-034|A|Lesser Black-backed Gull||2/22/96 0:00:00|3/2/96 0:00:00|Oceanside|SD||(ph.) Same as 1996-019 (Doheny SB, ORA, 24 Dec 95 to 28 Jan 96) [record already accepted]
1996-035|A|Dusky-capped Flycatcher||12/27/95 0:00:00|3/9/96 0:00:00|Moss Landing|MTY||(ph.)
1996-036|B|Manx Shearwater||2/10/96 0:00:00||Monterey Bay|MTY||
1996-037|B|Trumpeter Swan|2|1/4/96 0:00:00||Vic. Grimes|COL||Ad. & imm.
1996-038|A|Whooper Swan||1/3/96 0:00:00|1/4/96 0:00:00|Vic. Grimes|COL||Returning bird
1996-039|A|Swallow-tailed Gull||3/3/96 0:00:00||15 mi W of SE Farallon I.|SF||
1996-040|A|Golden-winged Warbler||3/1/96 0:00:00|3/2/96 0:00:00|Glendale|LA||
1996-041|A|Gray Catbird|1|12/31/95 0:00:00|2/19/96 0:00:00|Canyon Pk, Costa Mesa|ORA||
1996-042|A|Zone-tailed Hawk||3/1/95 0:00:00||Ojai|VEN||Returning bird
1996-043|A|Red-tailed Tropicbird||11/25/95 0:00:00||34°12'38"N, 121°28'44"W, ca. 55 mi W of Pt. Conception|SBA||
1996-044|A|Tricolored Heron||11/3/95 0:00:00||Tijuana R. Estuary|SD||
1996-045|A|Zone-tailed Hawk||9/22/95 0:00:00|12/31/95 0:00:00|Santa Barbara|SBA||Returning adult
1996-046|R|Bar-tailed Godwit||8/27/95 0:00:00||San Elijo Lagoon|SD||
1996-047|A|Broad-billed Hummingbird||11/15/95 0:00:00|11/22/95 0:00:00|Santa Barbara|SBA||(ph.)
1996-048|A|Broad-billed Hummingbird||11/16/95 0:00:00||Pismo Beach SP|SLO||
1996-049|R|Dusky-capped Flycatcher||10/1/95 0:00:00||Sepulveda Basin|LA||
1996-050|R|Sulphur-bellied Flycatcher||9/26/95 0:00:00||Twentynine Palms|SBE||
1996-051|R|Sprague's Pipit||10/10/95 0:00:00||32°34'N, 117°58'W|SD||
1996-052|A|Yellow-throated Vireo||10/6/95 0:00:00||Carpinteria Creek|SBA||
1996-053|A|Yellow-green Vireo||10/14/95 0:00:00||Malibu|LA||(ph.)
1996-054|R|Grace's Warbler||9/23/95 0:00:00||Oxnard Plain|VEN||
1996-055|R|Pine Warbler||10/7/95 0:00:00|10/9/95 0:00:00|Oxnard Plain|VEN||
1996-056|B|Pine Warbler||10/24/95 0:00:00||Iron Mtn. Pumping Plant|SBE||(ph.)
1996-057|A|Worm-eating Warbler||10/12/95 0:00:00||Pt. Loma|SD||
1996-058|R|Painted Bunting||10/14/95 0:00:00||Cabrillo Beach|LA||
1996-059|O|Painted Bunting||9/10/95 0:00:00||Goleta|SBA||
1996-060|A|Common Grackle||10/24/95 0:00:00|10/25/95 0:00:00|Canebrake|KER||(ph.)
1996-061|A|Rufous-backed Robin||3/16/96 0:00:00|4/13/96 0:00:00|Borrego Springs|SD||(ph.)
1996-062|A|Broad-billed Hummingbird||1/14/96 0:00:00||Santa Rosa|SON||(ph.)
1996-063|A|Little Gull||3/2/96 0:00:00|3/15/96 0:00:00|Hollister sewage ponds|SBT||First winter (ph.)
1996-064|R|Rufous-backed Robin||10/21/95 0:00:00||Salton Sea NWR HQ|IMP||
1996-065|C|Worm-eating Warbler||10/21/72 0:00:00||Pacific Grove|MTY||
1996-066|A|Neotropic Cormorant|3|4/24/96 0:00:00|6/14/96 0:00:00|Fig Lake|IMP||Three immatures (ph.)
1996-067|A|Yellow-crowned Night-Heron||4/27/96 0:00:00|6/18/96 0:00:00|Fig Lake|IMP||Immature (ph.)
1996-068|A|Neotropic Cormorant|2|4/27/96 0:00:00||Salton Sea NWR|IMP||Two immatures
1996-069|A|Red-legged Kittiwake||2/28/96 0:00:00||Anaheim|ORA||(#LACM)
1996-070|B|Curlew Sandpiper||10/14/95 0:00:00||Abbotts Lagoon|MRN||Basic-plumaged
1996-071|R|Common Redpoll|3|1/13/96 0:00:00||Mtn. Home Village|SBE||
1996-072|A|Yellow-crowned Night-Heron||4/1/96 0:00:00|4/3/96 0:00:00|La Jolla|SD||Returning adult (since 1981). Same as 1981-088.
1996-073|A|Little Gull|2|4/13/96 0:00:00|4/21/96 0:00:00|N. end Salton Sea|RIV||Two adults, same as 1996-033
1996-074|A|Neotropic Cormorant||5/4/96 0:00:00|6/1/96 0:00:00|N. end Salton Sea|RIV||Immature
1996-075|A|Yellow-billed Loon||2/5/96 0:00:00||0.5 mi w. Pt. Pinos|MTY||(ph.)
1996-076|B|Parkinson's Petrel||6/7/96 0:00:00||23.5 nmi. SSW of SE Farallon I.|SF||
1996-077|S|Manx Shearwater||5/5/96 0:00:00|5/11/96 0:00:00|Pigeon Pt.|SM||record split
1996-077A|B|Manx Shearwater||5/5/96 0:00:00|5/11/96 0:00:00|Pigeon Pt.|SM||
1996-077B|A|Manx Shearwater||5/5/96 0:00:00|5/11/96 0:00:00|Pigeon Pt.|SM||
1996-078|A|Red-tailed Tropicbird||9/16/95 0:00:00||Monterey Bay|MTY||(ph.)
1996-079|B|Red-footed Booby||5/24/96 0:00:00||La Jolla|SD||(video)
1996-080|S|Harris's Hawk|||||||Various reports from 1994-1996: split into 9 records
1996-080A|C|Harris's Hawk||4/15/94 0:00:00|9/22/96 0:00:00|Borrego Valley|SD||Up to eight individuals
1996-080B|C|Harris's Hawk||6/1/94 0:00:00|10/31/95 0:00:00|Boulevard|SD||Up to five individuals
1996-080C|C|Harris's Hawk|2|11/26/94 0:00:00|1/29/95 0:00:00|Santee|SD||
1996-080D|C|Harris's Hawk||12/31/94 0:00:00|1/29/95 0:00:00|Coachella Valley|RIV||
1996-080E|C|Harris's Hawk||1/2/95 0:00:00|1/21/95 0:00:00|George AFB|SBE||Up to five individuals
1996-080F|C|Harris's Hawk||6/27/95 0:00:00|7/23/95 0:00:00|Riverside|RIV||
1996-080G|C|Harris's Hawk||6/15/93 0:00:00||Jawbone Canyon|KER||
1996-080H|C|Harris's Hawk||4/6/96 0:00:00||Antelope Valley|LA||
1996-080I|C|Harris's Hawk||3/31/96 0:00:00||Sweetwater R., near Spring Valley|SD||
1996-081|A|Curlew Sandpiper||5/1/96 0:00:00|5/5/96 0:00:00|Mountain View|SCL||(ph.)
1996-082|A|Little Gull||5/27/96 0:00:00|| Whitewater River mouth, N. end Salton Sea|RIV||Adult
1996-083|A|Black-headed Gull||4/20/96 0:00:00||Pigeon Pt.|SM||
