6-1986-11|Yellow-billed Loon|A|40.|30 Dec 85-19 Jan 86|Off Moss Landing|MTY
283-1986-11|Yellow-billed Loon|A|41.|25 Apr-18 May 86|Eureka|HUM
1-1987-12|Yellow-billed Loon|A|42.|28-30 Oct 86|Crescent City|DN
126-1987-12|Yellow-billed Loon|A|43.|10-11 Mar 87|Eureka|HUM
151-1987-12|Yellow-billed Loon|A|44.|28 Mar 87|Monterey Bay|MTY
265-1987-13|Yellow-billed Loon|A|45.|10 Oct 87|Pacific Grove|MTY
129-1988-13|Yellow-billed Loon|A|46.|24 Dec 87|Monterey|MTY
267-1988-13|Yellow-billed Loon|A|47.|2 Nov 88|Trinidad|HUM
49-1989-13|Yellow-billed Loon|A|48.|13 Dec 88|Crescent City|DN
10-1990-15|Yellow-billed Loon|A|49.|24 Dec 89-14 Mar 90|L. Havasu|SBE
73-1990-15|Yellow-billed Loon|A|50.|14 Mar-15 Apr 90|Trinidad|HUM
6-1991-16|Yellow-billed Loon|A|51.|10 Jan-13 Feb 91|Moss Landing|MTY
31-1992-17|Yellow-billed Loon|A|52.|30 Dec 91-17 Feb 92|Whiskeytown L.|SHA
304-1992-18|Yellow-billed Loon|A|53.|10 Dec 92|Morro Bay|SLO
12-1993-18|Yellow-billed Loon|A|54.|11 Dec 92|Santa Barbara Harbor|SBA
124-1993-18|Yellow-billed Loon|A|55.|20 Dec 92-24 Jan 93|Alameda/San Lorenzo creeks|ALA
31-1995-21|Yellow-billed Loon|A|56.|19 Feb-16 Mar 95|Tomales Bay|MRN
stat-dec-14|Yellow-billed Loon|R||28 Apr 65|Stinson Beach|MRN
398-1986-14|Yellow-billed Loon|R||25 Jan 69|Moss Landing|MTY
39-1985-14|Yellow-billed Loon|R||25 Jan-22 Feb 69|Monterey|MTY
stat-dec-14|Yellow-billed Loon|R||4 Mar 69|Limantour|MRN
stat-dec-14|Yellow-billed Loon|R||19-23 Mar 69|Big Lagoon|HUM
stat-dec-14|Yellow-billed Loon|R||26 Dec 70|Bodega Bay|SON
92-1985-11|Yellow-billed Loon|R||18 Jan 71|Bodega Bay|SON
stat-dec-14|Yellow-billed Loon|R||21 Jan 71|Bodega Bay|SON
stat-dec-14|Yellow-billed Loon|R||25 Feb 71|Bodega Bay|SON
stat-dec-14|Yellow-billed Loon|R||13 Feb 72|Bodega Bay|SON
254-1987-15|Yellow-billed Loon|R||3-5 Dec 72|Alameda|ALA
190-1986-14|Yellow-billed Loon|R||1 Jan 73|Drakes Bay|MRN
192-1986-14|Yellow-billed Loon|R||10 Dec 73|Bodega Bay|SON
193-1986-14|Yellow-billed Loon|R||late Dec 73-2 Jan 74|Humboldt Bay|HUM
stat-dec-14|Yellow-billed Loon|R||11 Jan 76|Moss Landing|MTY
51-1976-3|Yellow-billed Loon|R||60 Sep 76|Boca Reservoir|NEV
10-1977-4|Yellow-billed Loon|R||8-26 Dec 76|Grant L.|MNO
52-1976-5|Yellow-billed Loon|R||5 May 76|Pt. Mugu|VEN
15-1981-8|Yellow-billed Loon|R||29 Apr 80|Bodega Bay|SON
162-1986-12|Yellow-billed Loon|R||early Nov 80|Monterey|MTY
111-1985-10|Yellow-billed Loon|R||16 Jun 85|Crescent City|DN
253-1986-11|Yellow-billed Loon|R||11 Apr 86|El Estero, Monterey|MTY
271-1986-13|Yellow-billed Loon|R||7 May 86|Waddell Cr. mouth|SCZ
17-1987-12|Yellow-billed Loon|R||29 Dec 86|Pt. Lobos|MTY
401-1987-13|Yellow-billed Loon|R||15-17 Nov 87|King Salmon|HUM
202-1988-16|Yellow-billed Loon|R||16 Apr-1 May 88|Woodby I., Eureka|HUM
266-1988-15|Yellow-billed Loon|R||21 Oct 88|Shelter Cove|HUM
192-1990-15|Yellow-billed Loon|R||20 Aug 90|Abbotts Lagoon, Pt. Reyes|MRN
217-1991-17|Yellow-billed Loon|R||23 or 24 Mar 91|Pt. Richmond|CC
62-1992-17|Yellow-billed Loon|R||20 Jan 92|Carmel Bay|MTY
66-1993-19|Yellow-billed Loon|R||24 Feb 93|Rodeo Beach|MRN
stat-dec-14|Yellow-billed Loon|W||3 Oct 77|Pt. Reyes|MRN
|Yellow-billed Loon|U||20 Oct 68|Bodega Bay|SON
|Yellow-billed Loon|U||25 Jan 71|Inverness|MRN

